Name,dollar_value
Paul Skenes,35.0
Tarik Skubal,34.71
Zack Wheeler,34.42
Corbin Burnes,34.12
Logan Gilbert,33.83
Chris Sale,33.54
Garrett Crochet,33.25
Cole Ragans,32.96
Dylan Cease,32.67
George Kirby,32.38
Gerrit Cole,32.08
Framber Valdez,31.79
Blake Snell,31.5
Jacob deGrom,31.21
Tyler Glasnow,30.92
Max Fried,30.63
Hunter Brown,30.33
Grayson Rodriguez,30.04
Bryce Miller,29.75
Luis Castillo,29.46
Spencer Strider,29.17
Shohei Ohtani,28.88
Roki Sasaki,28.58
Yoshinobu Yamamoto,28.29
Pablo López,28.0
Logan Webb,27.71
Aaron Nola,27.42
Michael King,27.12
Joe Ryan,26.83
Freddy Peralta,26.54
Tanner Bibee,26.25
Bryan Woo,25.96
Hunter Greene,25.67
Spencer Schwellenbach,25.38
Justin Steele,25.08
Shota Imanaga,24.79
Jared Jones,24.5
Zac Gallen,24.21
Ryan Pepiot,23.92
Sonny Gray,23.62
Reynaldo López,23.33
Shane McClanahan,23.04
Kodai Senga,22.75
Clarke Schmidt,22.46
Yusei Kikuchi,22.17
Brandon Pfaadt,21.88
Carlos Rodón,21.58
Robbie Ray,21.29
Luis Gil,21.0
Jack Flaherty,20.71
Cristopher Sánchez,20.42
Sandy Alcantara,20.12
Clay Holmes,19.83
Taj Bradley,19.54
Bailey Ober,19.25
Gavin Williams,18.96
Nathan Eovaldi,18.67
Reese Olson,18.38
Nick Pivetta,18.08
Nick Lodolo,17.79
Spencer Arrighetti,17.5
Tanner Houck,17.21
Kevin Gausman,16.92
Shane Baz,16.62
Seth Lugo,16.33
Yu Darvish,16.04
Zach Eflin,15.75
Luis Severino,15.46
Sean Manaea,15.17
Ranger Suárez,14.88
Nestor Cortes,14.58
MacKenzie Gore,14.29
Mitch Keller,14.0
Jesús Luzardo,13.71
José Soriano,13.42
Kumar Rocker,13.12
Drew Rasmussen,12.83
Luis L. Ortiz,12.54
Brayan Bello,12.25
Bowden Francis,11.96
Max Scherzer,11.67
Jackson Jobe,11.38
Osvaldo Bido,11.08
Grant Holmes,10.79
Ronel Blanco,10.5
Justin Verlander,10.21
Kutter Crawford,9.92
Aaron Civale,9.62
Lucas Giolito,9.33
Frankie Montas,9.04
José Berríos,8.75
Michael Wacha,8.46
Edward Cabrera,8.17
Sean Burke,7.88
Dustin May,7.58
Eury Perez,7.29
Jordan Hicks,7.0
Matthew Boyd,6.71
Jeffrey Springs,6.42
Tobias Myers,6.12
Casey Mize,5.83
Reid Detmers,5.54
David Festa,5.25
David Peterson,4.96
Kyle Harrison,4.67
Mitch Spence,4.38
Hayden Wesneski,4.08
Dean Kremer,3.79
Chris Bassitt,3.5
Walker Buehler,3.21
Andrew Abbott,2.92
Ryan Weathers,2.62
Simeon Woods Richardson,2.33
Merrill Kelly,2.04
Nick Martinez,1.75
Jack Leiter,1.46
Hayden Birdsong,1.17
Tylor Megill,0.88
Davis Martin,0.58
DL Hall,0.29
